,scores,average_scores
0,1.0,1.0
1,0.0,0.5
2,2.0,1.0
3,-1.0,0.5
4,0.0,0.4
5,0.0,0.3333333333333333
6,1.0,0.42857142857142855
7,-1.0,0.25
8,0.0,0.2222222222222222
9,1.0,0.3
10,2.0,0.45454545454545453
11,0.0,0.4166666666666667
12,-1.0,0.3076923076923077
13,0.0,0.2857142857142857
14,0.0,0.26666666666666666
15,2.0,0.375
16,1.0,0.4117647058823529
17,1.0,0.4444444444444444
18,0.0,0.42105263157894735
19,1.0,0.45
20,-1.0,0.38095238095238093
21,1.0,0.4090909090909091
22,0.0,0.391304347826087
23,0.0,0.375
24,0.0,0.36
25,-3.0,0.23076923076923078
26,0.0,0.2222222222222222
27,-1.0,0.17857142857142858
28,0.0,0.1724137931034483
29,0.0,0.16666666666666666
30,-1.0,0.12903225806451613
31,0.0,0.125
32,0.0,0.12121212121212122
33,0.0,0.11764705882352941
34,0.0,0.11428571428571428
35,4.0,0.2222222222222222
36,-1.0,0.1891891891891892
37,-1.0,0.15789473684210525
38,-2.0,0.10256410256410256
39,0.0,0.1
40,-1.0,0.07317073170731707
41,-1.0,0.047619047619047616
42,-1.0,0.023255813953488372
43,2.0,0.06818181818181818
44,-3.0,0.0
45,1.0,0.021739130434782608
46,-1.0,0.0
47,1.0,0.020833333333333332
48,1.0,0.04081632653061224
49,2.0,0.08
50,1.0,0.09803921568627451
51,0.0,0.09615384615384616
52,2.0,0.1320754716981132
53,-1.0,0.1111111111111111
54,-2.0,0.07272727272727272
55,0.0,0.07142857142857142
56,1.0,0.08771929824561403
57,0.0,0.08620689655172414
58,0.0,0.0847457627118644
59,1.0,0.1
60,2.0,0.13114754098360656
61,1.0,0.14516129032258066
62,1.0,0.15873015873015872
63,3.0,0.203125
64,2.0,0.23076923076923078
65,3.0,0.2727272727272727
66,2.0,0.29850746268656714
67,1.0,0.3088235294117647
68,1.0,0.3188405797101449
69,2.0,0.34285714285714286
70,0.0,0.3380281690140845
71,-1.0,0.3194444444444444
72,-2.0,0.2876712328767123
73,0.0,0.28378378378378377
74,0.0,0.28
75,0.0,0.27631578947368424
76,1.0,0.2857142857142857
77,3.0,0.32051282051282054
78,0.0,0.31645569620253167
79,0.0,0.3125
80,2.0,0.3333333333333333
81,-1.0,0.3170731707317073
82,3.0,0.3493975903614458
83,0.0,0.34523809523809523
84,2.0,0.36470588235294116
85,-1.0,0.3488372093023256
86,1.0,0.3563218390804598
87,2.0,0.375
88,-1.0,0.3595505617977528
89,1.0,0.36666666666666664
90,2.0,0.38461538461538464
91,3.0,0.41304347826086957
92,3.0,0.44086021505376344
93,0.0,0.43617021276595747
94,4.0,0.47368421052631576
95,1.0,0.4791666666666667
96,-1.0,0.4639175257731959
97,2.0,0.47959183673469385
98,3.0,0.5050505050505051
99,0.0,0.5
100,4.0,0.53
101,4.0,0.57
102,2.0,0.57
103,2.0,0.6
104,3.0,0.63
105,2.0,0.65
106,-1.0,0.63
107,1.0,0.65
108,3.0,0.68
109,0.0,0.67
110,4.0,0.69
111,1.0,0.7
112,3.0,0.74
113,2.0,0.76
114,0.0,0.76
115,3.0,0.77
116,4.0,0.8
117,2.0,0.81
118,2.0,0.83
119,-1.0,0.81
120,6.0,0.88
121,2.0,0.89
122,1.0,0.9
123,5.0,0.95
124,7.0,1.02
125,7.0,1.12
126,1.0,1.13
127,1.0,1.15
128,5.0,1.2
129,2.0,1.22
130,3.0,1.26
131,1.0,1.27
132,3.0,1.3
133,0.0,1.3
134,1.0,1.31
135,0.0,1.27
136,4.0,1.32
137,9.0,1.42
138,4.0,1.48
139,0.0,1.48
140,5.0,1.54
141,2.0,1.57
142,1.0,1.59
143,8.0,1.65
144,4.0,1.72
145,2.0,1.73
146,3.0,1.77
147,8.0,1.84
148,2.0,1.85
149,6.0,1.89
150,0.0,1.88
151,2.0,1.9
152,6.0,1.94
153,1.0,1.96
154,3.0,2.01
155,3.0,2.04
156,3.0,2.06
157,0.0,2.06
158,2.0,2.08
