,scores,average_scores
0,-1.0,-1.0
1,0.0,-0.5
2,0.0,-0.3333333333333333
3,2.0,0.25
4,0.0,0.2
5,0.0,0.16666666666666666
6,-1.0,0.0
7,0.0,0.0
8,0.0,0.0
9,1.0,0.1
10,0.0,0.09090909090909091
11,0.0,0.08333333333333333
12,0.0,0.07692307692307693
13,-3.0,-0.14285714285714285
14,0.0,-0.13333333333333333
15,1.0,-0.0625
16,0.0,-0.058823529411764705
17,-1.0,-0.1111111111111111
18,0.0,-0.10526315789473684
19,0.0,-0.1
20,1.0,-0.047619047619047616
21,0.0,-0.045454545454545456
22,1.0,0.0
23,-2.0,-0.08333333333333333
24,0.0,-0.08
25,2.0,0.0
26,0.0,0.0
27,1.0,0.03571428571428571
28,-2.0,-0.034482758620689655
29,1.0,0.0
30,0.0,0.0
31,0.0,0.0
32,-1.0,-0.030303030303030304
33,0.0,-0.029411764705882353
34,0.0,-0.02857142857142857
35,1.0,0.0
36,0.0,0.0
37,0.0,0.0
38,0.0,0.0
39,1.0,0.025
40,-1.0,0.0
41,0.0,0.0
42,0.0,0.0
43,-1.0,-0.022727272727272728
44,0.0,-0.022222222222222223
45,0.0,-0.021739130434782608
46,-1.0,-0.0425531914893617
47,0.0,-0.041666666666666664
48,0.0,-0.04081632653061224
49,1.0,-0.02
50,0.0,-0.0196078431372549
51,1.0,0.0
52,0.0,0.0
53,-1.0,-0.018518518518518517
54,-1.0,-0.03636363636363636
55,2.0,0.0
56,0.0,0.0
57,1.0,0.017241379310344827
58,0.0,0.01694915254237288
59,-1.0,0.0
60,0.0,0.0
61,2.0,0.03225806451612903
62,-1.0,0.015873015873015872
63,0.0,0.015625
64,-1.0,0.0
65,1.0,0.015151515151515152
66,1.0,0.029850746268656716
67,-4.0,-0.029411764705882353
68,2.0,0.0
69,1.0,0.014285714285714285
70,0.0,0.014084507042253521
71,1.0,0.027777777777777776
72,-1.0,0.0136986301369863
73,0.0,0.013513513513513514
74,0.0,0.013333333333333334
75,-1.0,0.0
76,1.0,0.012987012987012988
77,1.0,0.02564102564102564
78,0.0,0.02531645569620253
79,0.0,0.025
80,0.0,0.024691358024691357
81,2.0,0.04878048780487805
82,0.0,0.04819277108433735
83,2.0,0.07142857142857142
84,1.0,0.08235294117647059
85,1.0,0.09302325581395349
86,0.0,0.09195402298850575
87,1.0,0.10227272727272728
88,1.0,0.11235955056179775
89,-1.0,0.1
90,-2.0,0.07692307692307693
91,3.0,0.10869565217391304
92,0.0,0.10752688172043011
93,-1.0,0.09574468085106383
94,2.0,0.11578947368421053
95,1.0,0.125
96,-1.0,0.1134020618556701
97,2.0,0.1326530612244898
98,3.0,0.16161616161616163
99,2.0,0.18
100,3.0,0.22
101,1.0,0.23
102,3.0,0.26
103,4.0,0.28
104,-2.0,0.26
105,0.0,0.26
106,3.0,0.3
107,4.0,0.34
108,3.0,0.37
109,4.0,0.4
110,0.0,0.4
111,2.0,0.42
112,2.0,0.44
113,3.0,0.5
114,2.0,0.52
115,5.0,0.56
116,0.0,0.56
117,4.0,0.61
118,3.0,0.64
119,3.0,0.67
120,0.0,0.66
121,2.0,0.68
122,0.0,0.67
123,3.0,0.72
124,0.0,0.72
125,1.0,0.71
126,4.0,0.75
127,6.0,0.8
128,2.0,0.84
129,0.0,0.83
130,2.0,0.85
131,2.0,0.87
132,2.0,0.9
133,0.0,0.9
134,3.0,0.93
135,0.0,0.92
136,3.0,0.95
137,0.0,0.95
138,5.0,1.0
139,4.0,1.03
140,5.0,1.09
141,9.0,1.18
142,4.0,1.22
143,3.0,1.26
144,4.0,1.3
145,1.0,1.31
146,2.0,1.34
147,-2.0,1.32
148,2.0,1.34
149,2.0,1.35
150,1.0,1.36
151,5.0,1.4
152,6.0,1.46
153,10.0,1.57
154,3.0,1.61
155,5.0,1.64
156,5.0,1.69
157,2.0,1.7
158,8.0,1.78
159,4.0,1.83
160,8.0,1.91
161,7.0,1.96
162,8.0,2.05
163,0.0,2.05
164,5.0,2.11
