,scores,average_scores
0,-1.0,-1.0
1,0.0,-0.5
2,0.0,-0.3333333333333333
3,-2.0,-0.75
4,1.0,-0.4
5,-2.0,-0.6666666666666666
6,0.0,-0.5714285714285714
7,1.0,-0.375
8,1.0,-0.2222222222222222
9,0.0,-0.2
10,-2.0,-0.36363636363636365
11,2.0,-0.16666666666666666
12,1.0,-0.07692307692307693
13,0.0,-0.07142857142857142
14,0.0,-0.06666666666666667
15,2.0,0.0625
16,1.0,0.11764705882352941
17,-1.0,0.05555555555555555
18,1.0,0.10526315789473684
19,1.0,0.15
20,2.0,0.23809523809523808
21,0.0,0.22727272727272727
22,-1.0,0.17391304347826086
23,0.0,0.16666666666666666
24,-1.0,0.12
25,-2.0,0.038461538461538464
26,0.0,0.037037037037037035
27,0.0,0.03571428571428571
28,-1.0,0.0
29,-2.0,-0.06666666666666667
30,0.0,-0.06451612903225806
31,0.0,-0.0625
32,-1.0,-0.09090909090909091
33,1.0,-0.058823529411764705
34,1.0,-0.02857142857142857
35,0.0,-0.027777777777777776
36,2.0,0.02702702702702703
37,0.0,0.02631578947368421
38,1.0,0.05128205128205128
39,0.0,0.05
40,1.0,0.07317073170731707
41,0.0,0.07142857142857142
42,2.0,0.11627906976744186
43,-2.0,0.06818181818181818
44,0.0,0.06666666666666667
45,-1.0,0.043478260869565216
46,-1.0,0.02127659574468085
47,-1.0,0.0
48,1.0,0.02040816326530612
49,0.0,0.02
50,0.0,0.0196078431372549
51,2.0,0.057692307692307696
52,3.0,0.11320754716981132
53,1.0,0.12962962962962962
54,1.0,0.14545454545454545
55,-1.0,0.125
56,0.0,0.12280701754385964
57,0.0,0.1206896551724138
58,2.0,0.15254237288135594
59,-2.0,0.11666666666666667
60,2.0,0.14754098360655737
61,-3.0,0.0967741935483871
62,-1.0,0.07936507936507936
63,1.0,0.09375
64,-1.0,0.07692307692307693
65,1.0,0.09090909090909091
66,4.0,0.14925373134328357
67,1.0,0.16176470588235295
68,1.0,0.17391304347826086
69,0.0,0.17142857142857143
70,0.0,0.16901408450704225
71,2.0,0.19444444444444445
72,1.0,0.2054794520547945
73,2.0,0.22972972972972974
74,-1.0,0.21333333333333335
75,1.0,0.2236842105263158
76,0.0,0.22077922077922077
77,0.0,0.21794871794871795
78,2.0,0.24050632911392406
79,2.0,0.2625
80,0.0,0.25925925925925924
81,2.0,0.2804878048780488
82,3.0,0.3132530120481928
83,1.0,0.32142857142857145
84,5.0,0.3764705882352941
85,0.0,0.37209302325581395
86,-2.0,0.3448275862068966
87,1.0,0.3522727272727273
88,6.0,0.4157303370786517
89,2.0,0.43333333333333335
90,3.0,0.46153846153846156
91,0.0,0.45652173913043476
92,2.0,0.4731182795698925
93,1.0,0.4787234042553192
94,3.0,0.5052631578947369
95,3.0,0.53125
96,0.0,0.5257731958762887
97,6.0,0.5816326530612245
98,3.0,0.6060606060606061
99,0.0,0.6
100,6.0,0.67
101,4.0,0.71
102,3.0,0.74
103,0.0,0.76
104,-1.0,0.74
105,0.0,0.76
106,6.0,0.82
107,0.0,0.81
108,4.0,0.84
109,1.0,0.85
110,1.0,0.88
111,4.0,0.9
112,6.0,0.95
113,1.0,0.96
114,1.0,0.97
115,4.0,0.99
116,4.0,1.02
117,8.0,1.11
118,6.0,1.16
119,5.0,1.2
120,3.0,1.21
121,3.0,1.24
122,5.0,1.3
123,8.0,1.38
124,-1.0,1.38
125,3.0,1.43
126,4.0,1.47
127,2.0,1.49
128,2.0,1.52
129,4.0,1.58
130,6.0,1.64
131,8.0,1.72
132,0.0,1.73
133,3.0,1.75
134,3.0,1.77
135,2.0,1.79
136,0.0,1.77
137,5.0,1.82
138,6.0,1.87
139,5.0,1.92
140,5.0,1.96
141,6.0,2.02
142,2.0,2.02
143,3.0,2.07
144,10.0,2.17
145,5.0,2.23
146,5.0,2.29
147,4.0,2.34
148,2.0,2.35
149,4.0,2.39
150,5.0,2.44
151,7.0,2.49
152,6.0,2.52
153,5.0,2.56
154,11.0,2.66
