,scores,average_scores
0,0.0,0.0
1,0.0,0.0
2,-1.0,-0.3333333333333333
3,-1.0,-0.5
4,-1.0,-0.6
5,-2.0,-0.8333333333333334
6,1.0,-0.5714285714285714
7,0.0,-0.5
8,0.0,-0.4444444444444444
9,1.0,-0.3
10,-2.0,-0.45454545454545453
11,0.0,-0.4166666666666667
12,4.0,-0.07692307692307693
13,0.0,-0.07142857142857142
14,0.0,-0.06666666666666667
15,0.0,-0.0625
16,1.0,0.0
17,1.0,0.05555555555555555
18,1.0,0.10526315789473684
19,4.0,0.3
20,0.0,0.2857142857142857
21,0.0,0.2727272727272727
22,0.0,0.2608695652173913
23,-1.0,0.20833333333333334
24,1.0,0.24
25,1.0,0.2692307692307692
26,-2.0,0.18518518518518517
27,0.0,0.17857142857142858
28,2.0,0.2413793103448276
29,3.0,0.3333333333333333
30,0.0,0.3225806451612903
31,0.0,0.3125
32,0.0,0.30303030303030304
33,1.0,0.3235294117647059
34,0.0,0.3142857142857143
35,2.0,0.3611111111111111
36,-1.0,0.32432432432432434
37,0.0,0.3157894736842105
38,2.0,0.358974358974359
39,1.0,0.375
40,0.0,0.36585365853658536
41,0.0,0.35714285714285715
42,0.0,0.3488372093023256
43,0.0,0.3409090909090909
44,0.0,0.3333333333333333
45,0.0,0.32608695652173914
46,4.0,0.40425531914893614
47,-2.0,0.3541666666666667
48,-1.0,0.32653061224489793
49,2.0,0.36
50,1.0,0.37254901960784315
51,2.0,0.40384615384615385
52,1.0,0.41509433962264153
53,3.0,0.46296296296296297
54,1.0,0.4727272727272727
55,1.0,0.48214285714285715
56,4.0,0.543859649122807
57,1.0,0.5517241379310345
58,-1.0,0.5254237288135594
59,4.0,0.5833333333333334
60,3.0,0.6229508196721312
61,0.0,0.6129032258064516
62,0.0,0.6031746031746031
63,2.0,0.625
64,3.0,0.6615384615384615
65,2.0,0.6818181818181818
66,0.0,0.6716417910447762
67,2.0,0.6911764705882353
68,1.0,0.6956521739130435
69,6.0,0.7714285714285715
70,1.0,0.7746478873239436
71,4.0,0.8194444444444444
72,3.0,0.8493150684931506
73,5.0,0.9054054054054054
74,3.0,0.9333333333333333
75,2.0,0.9473684210526315
76,2.0,0.961038961038961
77,2.0,0.9743589743589743
78,3.0,1.0
79,3.0,1.025
80,2.0,1.037037037037037
81,4.0,1.0731707317073171
82,2.0,1.0843373493975903
83,6.0,1.1428571428571428
84,1.0,1.1411764705882352
85,3.0,1.1627906976744187
86,1.0,1.160919540229885
87,5.0,1.2045454545454546
88,1.0,1.202247191011236
89,0.0,1.1888888888888889
90,5.0,1.2307692307692308
91,0.0,1.2173913043478262
92,4.0,1.2473118279569892
93,0.0,1.2340425531914894
94,3.0,1.2526315789473683
95,3.0,1.2708333333333333
96,4.0,1.2989690721649485
97,1.0,1.2959183673469388
98,2.0,1.303030303030303
99,6.0,1.35
100,1.0,1.36
101,6.0,1.42
102,0.0,1.43
103,7.0,1.51
104,0.0,1.52
105,4.0,1.58
106,5.0,1.62
107,4.0,1.66
108,3.0,1.69
109,2.0,1.7
110,2.0,1.74
111,5.0,1.79
112,3.0,1.78
113,0.0,1.78
114,7.0,1.85
115,7.0,1.92
116,6.0,1.97
117,11.0,2.07
118,4.0,2.1
119,4.0,2.1
120,3.0,2.13
121,0.0,2.13
122,8.0,2.21
123,5.0,2.27
124,6.0,2.32
125,5.0,2.36
126,4.0,2.42
127,7.0,2.49
128,4.0,2.51
129,2.0,2.5
130,4.0,2.54
131,6.0,2.6
132,2.0,2.62
133,5.0,2.66
134,1.0,2.67
135,5.0,2.7
136,4.0,2.75
137,3.0,2.78
138,6.0,2.82
139,4.0,2.85
140,2.0,2.87
141,1.0,2.88
142,6.0,2.94
143,3.0,2.97
144,4.0,3.01
145,5.0,3.06
146,7.0,3.09
147,9.0,3.2
148,4.0,3.25
149,3.0,3.26
150,6.0,3.31
151,4.0,3.33
152,4.0,3.36
153,6.0,3.39
154,7.0,3.45
155,8.0,3.52
156,7.0,3.55
157,4.0,3.58
158,4.0,3.63
159,3.0,3.62
160,4.0,3.63
161,11.0,3.74
162,7.0,3.81
163,5.0,3.84
164,8.0,3.89
165,4.0,3.91
166,11.0,4.02
167,5.0,4.05
168,5.0,4.09
169,6.0,4.09
170,4.0,4.12
171,6.0,4.14
172,8.0,4.19
173,7.0,4.21
174,6.0,4.24
175,6.0,4.28
176,4.0,4.3
177,7.0,4.35
178,7.0,4.39
179,8.0,4.44
180,-1.0,4.41
181,7.0,4.44
182,2.0,4.44
183,7.0,4.45
184,9.0,4.53
185,7.0,4.57
186,10.0,4.66
187,8.0,4.69
188,7.0,4.75
189,11.0,4.86
190,6.0,4.87
191,7.0,4.94
192,4.0,4.94
193,3.0,4.97
194,5.0,4.99
195,9.0,5.05
196,8.0,5.09
197,9.0,5.17
198,10.0,5.25
199,6.0,5.25
200,9.0,5.33
201,5.0,5.32
202,7.0,5.39
203,3.0,5.35
204,6.0,5.41
205,6.0,5.43
206,9.0,5.47
207,8.0,5.51
208,5.0,5.53
209,6.0,5.57
210,8.0,5.63
211,9.0,5.67
212,8.0,5.72
213,15.0,5.87
214,9.0,5.89
215,13.0,5.95
216,9.0,5.98
217,11.0,5.98
218,7.0,6.01
219,4.0,6.01
220,10.0,6.08
221,9.0,6.17
222,10.0,6.19
223,8.0,6.22
224,6.0,6.22
225,5.0,6.22
226,10.0,6.28
227,6.0,6.27
228,1.0,6.24
229,6.0,6.28
230,9.0,6.33
231,12.0,6.39
232,5.0,6.42
233,10.0,6.47
234,11.0,6.57
235,11.0,6.63
236,9.0,6.68
237,14.0,6.79
238,9.0,6.82
239,8.0,6.86
240,9.0,6.93
241,15.0,7.07
242,8.0,7.09
243,16.0,7.22
244,6.0,7.24
245,11.0,7.3
246,6.0,7.29
247,9.0,7.29
248,5.0,7.3
249,3.0,7.3
250,8.0,7.32
251,8.0,7.36
252,11.0,7.43
253,11.0,7.48
254,2.0,7.43
255,7.0,7.42
256,11.0,7.46
257,7.0,7.49
258,1.0,7.46
259,14.0,7.57
260,4.0,7.57
261,5.0,7.51
262,8.0,7.52
263,11.0,7.58
264,7.0,7.57
265,10.0,7.63
266,14.0,7.66
267,11.0,7.72
268,9.0,7.76
269,10.0,7.8
270,6.0,7.82
271,8.0,7.84
272,10.0,7.86
273,13.0,7.92
274,13.0,7.99
275,9.0,8.02
276,11.0,8.09
277,8.0,8.1
278,4.0,8.07
279,8.0,8.07
280,9.0,8.17
281,6.0,8.16
282,11.0,8.25
283,6.0,8.24
284,9.0,8.24
285,12.0,8.29
286,11.0,8.3
287,9.0,8.31
288,14.0,8.38
289,5.0,8.32
290,6.0,8.32
291,6.0,8.31
292,11.0,8.38
293,10.0,8.45
294,9.0,8.49
295,17.0,8.57
296,10.0,8.59
297,14.0,8.64
298,9.0,8.63
299,2.0,8.59
300,10.0,8.6
301,7.0,8.62
302,8.0,8.63
303,13.0,8.73
304,9.0,8.76
305,10.0,8.8
306,7.0,8.78
307,12.0,8.82
308,8.0,8.85
309,15.0,8.94
310,7.0,8.93
311,14.0,8.98
312,10.0,9.0
313,8.0,8.93
314,12.0,8.96
315,15.0,8.98
316,14.0,9.03
317,10.0,9.02
318,5.0,9.0
319,2.0,8.98
320,6.0,8.94
321,7.0,8.92
322,9.0,8.91
323,7.0,8.9
324,9.0,8.93
325,6.0,8.94
326,14.0,8.98
327,2.0,8.94
328,8.0,9.01
329,11.0,9.06
330,12.0,9.09
331,8.0,9.05
332,12.0,9.12
333,4.0,9.06
334,11.0,9.06
335,8.0,9.03
336,8.0,9.02
337,7.0,8.95
338,14.0,9.0
339,12.0,9.04
340,15.0,9.1
341,5.0,9.0
342,9.0,9.01
343,8.0,8.93
344,11.0,8.98
345,7.0,8.94
346,14.0,9.02
347,11.0,9.04
348,11.0,9.1
349,14.0,9.21
350,17.0,9.3
351,8.0,9.3
352,15.0,9.34
353,12.0,9.35
354,6.0,9.39
355,10.0,9.42
356,14.0,9.45
357,6.0,9.44
358,7.0,9.5
359,10.0,9.46
360,8.0,9.5
361,10.0,9.55
362,13.0,9.6
363,17.0,9.66
364,10.0,9.69
365,13.0,9.72
366,9.0,9.67
367,4.0,9.6
368,11.0,9.62
369,12.0,9.64
370,8.0,9.66
371,9.0,9.67
372,9.0,9.66
373,10.0,9.63
374,12.0,9.62
375,5.0,9.58
376,9.0,9.56
377,15.0,9.63
378,8.0,9.67
379,7.0,9.66
380,8.0,9.65
381,18.0,9.77
382,14.0,9.8
