,learning_rate,batch_size,fc_units,i_episode
0,5e-05,128,32,519
1,0.001,128,64,394
2,0.001,64,32,380
3,5e-05,32,64,593
4,0.0005,128,32,379
5,0.0001,64,64,484
6,5e-05,32,64,608
7,0.0005,128,64,428
8,0.0005,128,64,476
9,0.001,256,64,403
10,0.0005,256,32,420
11,0.0001,128,32,423
12,0.0005,256,32,360
13,0.0005,256,32,408
14,0.0001,256,32,409
15,0.0005,256,32,388
16,0.0005,64,32,434
17,0.0005,32,32,438
18,0.0005,256,32,469
19,0.0005,128,32,435
20,0.0005,128,32,424
21,0.0005,256,32,408
22,0.0005,32,32,416
23,0.001,64,32,517
24,0.0001,128,32,475
25,5e-05,256,32,478
26,0.0005,128,32,408
27,0.0005,256,32,390
28,5e-05,128,32,523
29,0.0005,32,32,406
30,0.001,128,32,428
31,0.0001,64,32,517
32,5e-05,256,64,436
33,0.001,128,32,399
34,0.0005,64,64,393
35,5e-05,32,32,749
36,0.001,128,64,516
37,0.0001,256,64,381
38,0.0005,64,32,397
39,0.0005,128,64,382
40,5e-05,256,32,466
41,0.0005,32,32,434
42,0.001,128,64,422
43,0.0001,256,32,398
44,0.0005,256,32,389
45,0.0005,64,32,393
46,0.0005,128,64,430
47,0.0001,32,32,531
48,0.0005,256,32,367
49,5e-05,256,32,508
50,0.0005,256,32,403
51,0.001,256,64,397
52,0.0005,256,32,417
53,0.0005,256,32,435
54,0.0005,256,32,411
55,0.0001,256,32,446
56,0.0005,256,32,403
57,5e-05,256,64,426
58,0.001,32,32,448
59,0.0005,64,32,408
60,0.0005,256,32,425
61,0.0001,256,32,434
62,0.0005,256,64,462
63,5e-05,64,32,543
64,0.001,32,32,427
65,0.0005,128,32,408
66,0.0005,128,32,423
67,0.0005,128,32,441
68,0.0005,128,32,377
69,0.0005,128,32,374
70,0.0005,128,32,447
71,0.0005,256,32,405
72,0.0005,128,32,440
73,0.0005,256,32,434
74,0.0005,64,32,383
75,0.0005,32,32,431
76,0.0001,256,32,456
77,5e-05,128,64,442
78,0.0005,256,32,390
79,0.001,128,32,434
80,0.0005,64,32,452
81,0.0005,256,32,385
82,0.0001,32,64,433
83,5e-05,128,32,556
84,0.0005,256,32,400
85,0.001,256,32,393
86,0.0005,128,64,402
87,0.0005,256,32,350
88,0.0005,256,32,392
89,0.0001,256,32,404
90,5e-05,256,32,538
91,0.0005,256,64,393
92,0.001,256,32,374
93,0.0005,256,32,390
94,0.0005,256,32,388
95,0.0001,256,64,430
