,trial_id,state,value,datetime_start,datetime_complete,params,params,params
,,,,,,batch_size,fc_units,learning_rate
0,0,TrialState.COMPLETE,519.0,2018-12-04 18:53:57.294574,2018-12-04 19:02:27.523600,128,32,5e-05
1,1,TrialState.COMPLETE,394.0,2018-12-04 19:02:27.527371,2018-12-04 19:09:14.934867,128,64,0.001
2,2,TrialState.COMPLETE,380.0,2018-12-04 19:09:14.938653,2018-12-04 19:15:21.614408,64,32,0.001
3,3,TrialState.COMPLETE,593.0,2018-12-04 19:15:21.626526,2018-12-04 19:23:49.518623,32,64,5e-05
4,4,TrialState.COMPLETE,379.0,2018-12-04 19:23:49.532508,2018-12-04 19:30:26.558477,128,32,0.0005
5,5,TrialState.COMPLETE,484.0,2018-12-04 19:30:26.572558,2018-12-04 19:37:58.313817,64,64,0.0001
6,6,TrialState.COMPLETE,608.0,2018-12-04 19:37:58.326482,2018-12-04 19:46:39.409320,32,64,5e-05
7,7,TrialState.COMPLETE,428.0,2018-12-04 19:46:39.424057,2018-12-04 19:54:00.706750,128,64,0.0005
8,8,TrialState.COMPLETE,476.0,2018-12-04 19:54:00.724767,2018-12-04 20:02:02.086887,128,64,0.0005
9,9,TrialState.COMPLETE,403.0,2018-12-04 20:02:02.102747,2018-12-04 20:10:09.245431,256,64,0.001
10,10,TrialState.COMPLETE,420.0,2018-12-04 20:10:09.260382,2018-12-04 20:18:33.489096,256,32,0.0005
11,11,TrialState.COMPLETE,423.0,2018-12-04 20:18:33.502863,2018-12-04 20:25:51.956770,128,32,0.0001
12,12,TrialState.COMPLETE,360.0,2018-12-04 20:25:51.972612,2018-12-04 20:33:15.080335,256,32,0.0005
13,13,TrialState.COMPLETE,408.0,2018-12-04 20:33:15.098941,2018-12-04 20:41:25.571987,256,32,0.0005
14,14,TrialState.COMPLETE,409.0,2018-12-04 20:41:25.590184,2018-12-04 20:49:36.002376,256,32,0.0001
15,15,TrialState.COMPLETE,388.0,2018-12-04 20:49:36.018061,2018-12-04 20:57:27.302623,256,32,0.0005
16,16,TrialState.COMPLETE,434.0,2018-12-04 20:57:27.319164,2018-12-04 21:04:23.233381,64,32,0.0005
17,17,TrialState.COMPLETE,438.0,2018-12-04 21:04:23.247521,2018-12-04 21:11:01.551203,32,32,0.0005
18,18,TrialState.COMPLETE,469.0,2018-12-04 21:11:01.554360,2018-12-04 21:20:12.783811,256,32,0.0005
19,19,TrialState.COMPLETE,435.0,2018-12-04 21:20:12.799169,2018-12-04 21:27:45.482895,128,32,0.0005
20,20,TrialState.COMPLETE,424.0,2018-12-04 21:27:45.499375,2018-12-04 21:35:12.156821,128,32,0.0005
21,21,TrialState.COMPLETE,408.0,2018-12-04 21:35:12.177540,2018-12-04 21:43:29.411910,256,32,0.0005
22,22,TrialState.COMPLETE,416.0,2018-12-04 21:43:29.428523,2018-12-04 21:49:56.735155,32,32,0.0005
23,23,TrialState.COMPLETE,517.0,2018-12-04 21:49:56.754467,2018-12-04 21:58:06.544191,64,32,0.001
24,24,TrialState.COMPLETE,475.0,2018-12-04 21:58:06.559830,2018-12-04 22:06:15.725452,128,32,0.0001
25,25,TrialState.COMPLETE,478.0,2018-12-04 22:06:15.742204,2018-12-04 22:15:40.438398,256,32,5e-05
