,learning_rate,buffer_size,update_every,i_episode
0,0.001,200000,4,584
1,0.0001,100000,8,447
2,0.001,200000,8,487
3,0.0005,200000,2,579
4,0.0005,200000,2,650
5,0.0001,200000,4,456
6,0.0001,200000,8,562
7,5e-05,50000,4,377
8,0.0005,200000,2,572
9,0.0001,200000,4,388
10,5e-05,50000,4,496
11,5e-05,50000,4,411
12,5e-05,50000,4,472
13,5e-05,50000,4,513
14,5e-05,100000,4,415
15,5e-05,50000,8,525
16,0.001,50000,2,600
17,0.0001,100000,4,391
18,0.0001,50000,4,429
19,0.0001,50000,4,442
20,5e-05,200000,4,477
21,0.0001,100000,4,435
22,5e-05,50000,4,419
23,0.001,200000,4,455
24,0.0001,100000,8,488
25,0.0001,50000,4,418
26,0.0005,200000,2,689
27,5e-05,200000,4,521
28,0.001,50000,4,522
29,0.0005,200000,4,489
30,0.0001,100000,8,516
31,0.001,200000,2,624
32,5e-05,50000,8,564
33,0.0001,200000,4,460
34,0.0005,100000,2,486
35,0.001,200000,4,452
36,0.0001,200000,8,564
37,5e-05,50000,4,415
38,0.0005,200000,2,511
39,0.0001,50000,4,390
40,5e-05,200000,8,520
41,5e-05,50000,4,473
42,0.0001,100000,4,409
43,0.0005,200000,2,578
44,5e-05,50000,4,393
45,0.001,200000,8,550
46,0.0001,50000,4,439
47,5e-05,100000,4,460
48,0.0001,50000,2,370
49,5e-05,50000,2,495
50,0.0001,50000,2,375
51,0.0001,50000,2,319
52,0.0001,50000,2,438
53,0.0001,50000,2,399
54,0.0001,50000,2,454
55,0.0001,50000,2,404
56,0.0001,50000,2,369
57,0.0001,50000,2,379
58,0.0001,50000,2,381
59,0.001,50000,2,475
60,0.0005,100000,2,412
61,0.0001,50000,2,385
62,0.0001,50000,2,399
63,0.001,100000,2,440
64,0.0005,50000,2,482
65,0.0001,50000,2,433
66,0.0001,50000,2,408
67,0.0001,50000,2,364
68,0.0001,50000,2,328
69,0.0001,50000,2,391
70,0.0001,50000,2,398
71,0.0001,50000,2,379
72,0.0005,100000,4,420
73,0.0005,100000,4,396
74,0.0001,100000,8,465
75,0.0001,100000,8,526
76,0.0001,100000,8,485
77,0.00001,100000,8,548
78,0.0005,100000,8,463
79,0.0005,100000,8,464
80,0.0005,50000,4,415
81,0.0005,50000,4,416
