,trial_id,state,value,datetime_start,datetime_complete,params,params,params
,,,,,,buffer_size,learning_rate,update_every
0,0,TrialState.COMPLETE,584.0,2018-12-05 11:05:22.042532,2018-12-05 11:16:38.650386,200000,0.001,4
1,1,TrialState.COMPLETE,447.0,2018-12-05 11:16:38.658734,2018-12-05 11:23:29.340760,100000,0.0001,8
2,2,TrialState.COMPLETE,487.0,2018-12-05 11:23:29.353866,2018-12-05 11:30:58.431075,200000,0.001,8
3,3,TrialState.COMPLETE,579.0,2018-12-05 11:30:58.453494,2018-12-05 11:46:38.225477,200000,0.0005,2
4,4,TrialState.COMPLETE,650.0,2018-12-05 11:46:38.254426,2018-12-05 12:04:17.710615,200000,0.0005,2
5,5,TrialState.COMPLETE,456.0,2018-12-05 12:04:17.737594,2018-12-05 12:13:02.650822,200000,0.0001,4
6,6,TrialState.COMPLETE,562.0,2018-12-05 12:13:02.665103,2018-12-05 12:21:06.350406,200000,0.0001,8
7,7,TrialState.COMPLETE,377.0,2018-12-05 12:21:06.376506,2018-12-05 12:28:25.847647,50000,5e-05,4
8,8,TrialState.COMPLETE,572.0,2018-12-05 12:28:25.855394,2018-12-05 12:44:39.242497,200000,0.0005,2
9,9,TrialState.COMPLETE,388.0,2018-12-05 12:44:39.270656,2018-12-05 12:52:52.787983,200000,0.0001,4
10,10,TrialState.COMPLETE,496.0,2018-12-05 12:52:52.808364,2018-12-05 13:02:41.115298,50000,5e-05,4
11,11,TrialState.COMPLETE,411.0,2018-12-05 13:02:41.118033,2018-12-05 13:11:02.520584,50000,5e-05,4
12,12,TrialState.COMPLETE,472.0,2018-12-05 13:11:02.528204,2018-12-05 13:20:35.048401,50000,5e-05,4
13,13,TrialState.COMPLETE,513.0,2018-12-05 13:20:35.056695,2018-12-05 13:30:32.768906,50000,5e-05,4
14,14,TrialState.COMPLETE,415.0,2018-12-05 13:30:32.777499,2018-12-05 13:39:20.429825,100000,5e-05,4
15,15,TrialState.COMPLETE,525.0,2018-12-05 13:39:20.446341,2018-12-05 13:47:28.887650,50000,5e-05,8
16,16,TrialState.COMPLETE,600.0,2018-12-05 13:47:28.895297,2018-12-05 14:03:42.954479,50000,0.001,2
17,17,TrialState.COMPLETE,391.0,2018-12-05 14:03:42.962308,2018-12-05 14:11:41.016207,100000,0.0001,4
18,18,TrialState.COMPLETE,429.0,2018-12-05 14:11:41.031675,2018-12-05 14:20:14.395983,50000,0.0001,4
19,19,TrialState.COMPLETE,442.0,2018-12-05 14:20:14.405219,2018-12-05 14:29:05.942829,50000,0.0001,4
