,scores,average_scores
0,0.0,0.0
1,0.0,0.0
2,-1.0,-0.3333333333333333
3,-1.0,-0.5
4,-1.0,-0.6
5,-2.0,-0.8333333333333334
6,1.0,-0.5714285714285714
7,0.0,-0.5
8,0.0,-0.4444444444444444
9,1.0,-0.3
10,-2.0,-0.45454545454545453
11,0.0,-0.4166666666666667
12,4.0,-0.07692307692307693
13,0.0,-0.07142857142857142
14,0.0,-0.06666666666666667
15,0.0,-0.0625
16,1.0,0.0
17,1.0,0.05555555555555555
18,1.0,0.10526315789473684
19,4.0,0.3
20,0.0,0.2857142857142857
21,0.0,0.2727272727272727
22,0.0,0.2608695652173913
23,-1.0,0.20833333333333334
24,1.0,0.24
25,1.0,0.2692307692307692
26,-2.0,0.18518518518518517
27,0.0,0.17857142857142858
28,2.0,0.2413793103448276
29,3.0,0.3333333333333333
30,0.0,0.3225806451612903
31,0.0,0.3125
32,0.0,0.30303030303030304
33,1.0,0.3235294117647059
34,0.0,0.3142857142857143
35,4.0,0.4166666666666667
36,3.0,0.4864864864864865
37,0.0,0.47368421052631576
38,0.0,0.46153846153846156
39,0.0,0.45
40,1.0,0.4634146341463415
41,-2.0,0.40476190476190477
42,4.0,0.4883720930232558
43,1.0,0.5
44,3.0,0.5555555555555556
45,1.0,0.5652173913043478
46,2.0,0.5957446808510638
47,0.0,0.5833333333333334
48,-1.0,0.5510204081632653
49,1.0,0.56
50,4.0,0.6274509803921569
51,0.0,0.6153846153846154
52,1.0,0.6226415094339622
53,6.0,0.7222222222222222
54,1.0,0.7272727272727273
55,0.0,0.7142857142857143
56,0.0,0.7017543859649122
57,4.0,0.7586206896551724
58,1.0,0.7627118644067796
59,1.0,0.7666666666666667
60,1.0,0.7704918032786885
61,5.0,0.8387096774193549
62,0.0,0.8253968253968254
63,4.0,0.875
64,5.0,0.9384615384615385
65,2.0,0.9545454545454546
66,0.0,0.9402985074626866
67,-1.0,0.9117647058823529
68,1.0,0.9130434782608695
69,3.0,0.9428571428571428
70,1.0,0.9436619718309859
71,0.0,0.9305555555555556
72,0.0,0.9178082191780822
73,1.0,0.918918918918919
74,4.0,0.96
75,3.0,0.9868421052631579
76,1.0,0.987012987012987
77,6.0,1.0512820512820513
78,2.0,1.0632911392405062
79,3.0,1.0875
80,2.0,1.0987654320987654
81,3.0,1.1219512195121952
82,0.0,1.108433734939759
83,3.0,1.130952380952381
84,3.0,1.1529411764705881
85,3.0,1.1744186046511629
86,4.0,1.206896551724138
87,3.0,1.2272727272727273
88,3.0,1.247191011235955
89,5.0,1.288888888888889
90,1.0,1.2857142857142858
91,5.0,1.326086956521739
92,4.0,1.3548387096774193
93,0.0,1.3404255319148937
94,5.0,1.3789473684210527
95,6.0,1.4270833333333333
96,1.0,1.422680412371134
97,3.0,1.4387755102040816
98,5.0,1.4747474747474747
99,1.0,1.47
100,5.0,1.52
101,4.0,1.56
102,0.0,1.57
103,2.0,1.6
104,2.0,1.63
105,5.0,1.7
106,0.0,1.69
107,4.0,1.73
108,1.0,1.74
109,3.0,1.76
110,3.0,1.81
111,1.0,1.82
112,1.0,1.79
113,3.0,1.82
114,6.0,1.88
115,3.0,1.91
116,2.0,1.92
117,4.0,1.95
118,3.0,1.97
119,3.0,1.96
120,5.0,2.01
121,6.0,2.07
122,6.0,2.13
123,5.0,2.19
124,3.0,2.21
125,4.0,2.24
126,4.0,2.3
127,2.0,2.32
128,9.0,2.39
129,6.0,2.42
130,3.0,2.45
131,8.0,2.53
132,1.0,2.54
133,4.0,2.57
134,5.0,2.62
135,0.0,2.58
136,5.0,2.6
137,2.0,2.62
138,6.0,2.68
139,2.0,2.7
140,9.0,2.78
141,3.0,2.83
142,4.0,2.83
143,4.0,2.86
144,7.0,2.9
145,5.0,2.94
146,4.0,2.96
147,6.0,3.02
148,4.0,3.07
149,4.0,3.1
150,5.0,3.11
151,2.0,3.13
152,6.0,3.18
153,2.0,3.14
154,7.0,3.2
155,4.0,3.24
156,4.0,3.28
157,6.0,3.3
158,7.0,3.36
159,3.0,3.38
160,3.0,3.4
161,0.0,3.35
162,0.0,3.35
163,7.0,3.38
164,2.0,3.35
165,9.0,3.42
166,5.0,3.47
167,5.0,3.53
168,5.0,3.57
169,0.0,3.54
170,6.0,3.59
171,2.0,3.61
172,6.0,3.67
173,9.0,3.75
174,7.0,3.78
175,3.0,3.78
176,6.0,3.83
177,10.0,3.87
178,9.0,3.94
179,2.0,3.93
180,1.0,3.92
181,10.0,3.99
182,5.0,4.04
183,4.0,4.05
184,4.0,4.06
185,4.0,4.07
186,9.0,4.12
187,8.0,4.17
188,11.0,4.25
189,7.0,4.27
190,5.0,4.31
191,6.0,4.32
192,6.0,4.34
193,10.0,4.44
194,6.0,4.45
195,4.0,4.43
196,4.0,4.46
197,9.0,4.52
198,6.0,4.53
199,2.0,4.54
200,7.0,4.56
201,10.0,4.62
202,8.0,4.7
203,4.0,4.72
204,11.0,4.81
205,6.0,4.82
206,5.0,4.87
207,11.0,4.94
208,11.0,5.04
209,4.0,5.05
210,5.0,5.07
211,14.0,5.2
212,6.0,5.25
213,6.0,5.28
214,12.0,5.34
215,10.0,5.41
216,11.0,5.5
217,11.0,5.57
218,6.0,5.6
219,8.0,5.65
220,8.0,5.68
221,9.0,5.71
222,10.0,5.75
223,8.0,5.78
224,8.0,5.83
225,5.0,5.84
226,9.0,5.89
227,8.0,5.95
228,7.0,5.93
229,8.0,5.95
230,6.0,5.98
231,8.0,5.98
232,3.0,6.0
233,6.0,6.02
234,9.0,6.06
235,11.0,6.17
236,8.0,6.2
237,4.0,6.22
238,6.0,6.22
239,13.0,6.33
240,8.0,6.32
241,4.0,6.33
242,2.0,6.31
243,3.0,6.3
244,-1.0,6.22
245,5.0,6.22
246,12.0,6.3
247,10.0,6.34
248,7.0,6.37
249,10.0,6.43
250,9.0,6.47
251,10.0,6.55
252,4.0,6.53
253,14.0,6.65
254,6.0,6.64
255,5.0,6.65
256,4.0,6.65
257,7.0,6.66
258,1.0,6.6
259,15.0,6.72
260,6.0,6.75
261,13.0,6.88
262,7.0,6.95
263,10.0,6.98
264,12.0,7.08
265,11.0,7.1
266,8.0,7.13
267,8.0,7.16
268,10.0,7.21
269,11.0,7.32
270,13.0,7.39
271,10.0,7.47
272,8.0,7.49
273,8.0,7.48
274,13.0,7.54
275,13.0,7.64
276,10.0,7.68
277,10.0,7.68
278,12.0,7.71
279,11.0,7.8
280,7.0,7.86
281,8.0,7.84
282,10.0,7.89
283,6.0,7.91
284,9.0,7.96
285,8.0,8.0
286,10.0,8.01
287,9.0,8.02
288,6.0,7.97
289,5.0,7.95
290,14.0,8.04
291,5.0,8.03
292,11.0,8.08
293,0.0,7.98
294,8.0,8.0
295,8.0,8.04
296,8.0,8.08
297,11.0,8.1
298,5.0,8.09
299,12.0,8.19
300,4.0,8.16
301,11.0,8.17
302,16.0,8.25
303,9.0,8.3
304,6.0,8.25
305,8.0,8.27
306,4.0,8.26
307,5.0,8.2
308,6.0,8.15
309,10.0,8.21
310,10.0,8.26
311,3.0,8.15
312,7.0,8.16
313,8.0,8.18
314,8.0,8.14
315,9.0,8.13
316,8.0,8.1
317,7.0,8.06
318,15.0,8.15
319,11.0,8.18
320,7.0,8.17
321,14.0,8.22
322,13.0,8.25
323,6.0,8.23
324,9.0,8.24
325,4.0,8.23
326,8.0,8.22
327,8.0,8.22
328,7.0,8.22
329,10.0,8.24
330,6.0,8.24
331,13.0,8.29
332,11.0,8.37
333,20.0,8.51
334,13.0,8.55
335,4.0,8.48
336,14.0,8.54
337,7.0,8.57
338,4.0,8.55
339,2.0,8.44
340,14.0,8.5
341,10.0,8.56
342,15.0,8.69
343,9.0,8.75
344,8.0,8.84
345,14.0,8.93
346,10.0,8.91
347,11.0,8.92
348,9.0,8.94
349,4.0,8.88
350,5.0,8.84
351,12.0,8.86
352,13.0,8.95
353,8.0,8.89
354,13.0,8.96
355,15.0,9.06
356,16.0,9.18
357,8.0,9.19
358,10.0,9.28
359,12.0,9.25
360,9.0,9.28
361,18.0,9.33
362,11.0,9.37
363,5.0,9.32
364,4.0,9.24
365,8.0,9.21
366,8.0,9.21
367,13.0,9.26
368,7.0,9.23
369,8.0,9.2
370,13.0,9.2
371,13.0,9.23
372,12.0,9.27
373,12.0,9.31
374,7.0,9.25
375,6.0,9.18
376,13.0,9.21
377,14.0,9.25
378,7.0,9.2
379,8.0,9.17
380,15.0,9.25
381,9.0,9.26
382,19.0,9.35
383,14.0,9.43
